75 1 1 775 0.007
7	1	2
2	1	2
2	1	2
1	1	2
3	1	2
3	1	2
5	1	2
7	1	2
13	1	2
8	1	2
9	1	2
8	1	2
7	1	2
6	1	2
6	1	2
2	1	2
2	1	2
2	1	2
2	1	2
2	1	2
7	1	2
8	1	2
4	1	2
5	1	2
4	1	2
13	1	2
12	1	2
13	1	2
22	1	2
4	1	2
4	1	2
11	1	2
11	1	2
15	1	2
29	1	2
36	1	2
7	1	2
35	1	2
8	1	2
20	1	2
8	1	2
21	1	2
10	1	2
10	1	2
10	1	2
10	1	2
10	1	2
14	1	2
12	1	2
14	1	2
14	1	2
11	1	2
11	1	2
11	1	2
16	1	2
50	1	2
61	1	2
1	1	2
1	1	2
2	1	2
1	1	2
1	1	2
2	1	2
13	1	2
1	1	2
2	1	2
1	1	2
4	1	2
1	1	2
2	1	2
24	1	2
16	1	2
16	1	2
18	1	2
11	1	2
